CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031405256532001ME0F;14/09/2020;19;0,086;R
ES0031405256532001ME0F;14/09/2020;20;0,045;R
ES0031405256532001ME0F;14/09/2020;21;0,192;R
ES0031405256532001ME0F;14/09/2020;22;1,016;R
ES0031405256532001ME0F;14/09/2020;23;0,209;R
ES0031405256532001ME0F;14/09/2020;24;0,129;R
ES0031405256532001ME0F;15/09/2020;1;0,13;R
ES0031405256532001ME0F;15/09/2020;2;0,157;R
ES0031405256532001ME0F;15/09/2020;3;0,044;R
ES0031405256532001ME0F;15/09/2020;4;0,059;R
ES0031405256532001ME0F;15/09/2020;5;0,028;R
ES0031405256532001ME0F;15/09/2020;6;0,049;R
ES0031405256532001ME0F;15/09/2020;7;0,162;R
ES0031405256532001ME0F;15/09/2020;8;0,041;R
ES0031405256532001ME0F;15/09/2020;9;0,276;R
ES0031405256532001ME0F;15/09/2020;10;0,121;R
ES0031405256532001ME0F;15/09/2020;11;0,12;R
ES0031405256532001ME0F;15/09/2020;12;0,097;R
ES0031405256532001ME0F;15/09/2020;13;0,049;R
ES0031405256532001ME0F;15/09/2020;14;0,179;R
ES0031405256532001ME0F;15/09/2020;15;0,196;R
ES0031405256532001ME0F;15/09/2020;16;0,139;R
ES0031405256532001ME0F;15/09/2020;17;0,144;R
ES0031405256532001ME0F;15/09/2020;18;0,252;R
ES0031405256532001ME0F;15/09/2020;19;0,123;R
ES0031405256532001ME0F;15/09/2020;20;0,136;R
ES0031405256532001ME0F;15/09/2020;21;0,147;R
ES0031405256532001ME0F;15/09/2020;22;0,323;R
ES0031405256532001ME0F;15/09/2020;23;0,128;R
ES0031405256532001ME0F;15/09/2020;24;0,081;R
ES0031405256532001ME0F;16/09/2020;1;0,053;R
ES0031405256532001ME0F;16/09/2020;2;0,04;R
ES0031405256532001ME0F;16/09/2020;3;0,06;R
ES0031405256532001ME0F;16/09/2020;4;0,016;R
ES0031405256532001ME0F;16/09/2020;5;0,058;R
ES0031405256532001ME0F;16/09/2020;6;0,016;R
ES0031405256532001ME0F;16/09/2020;7;0,164;R
ES0031405256532001ME0F;16/09/2020;8;0,019;R
ES0031405256532001ME0F;16/09/2020;9;0,164;R
ES0031405256532001ME0F;16/09/2020;10;0,06;R
ES0031405256532001ME0F;16/09/2020;11;0,137;R
ES0031405256532001ME0F;16/09/2020;12;0,163;R
ES0031405256532001ME0F;16/09/2020;13;0,463;R
ES0031405256532001ME0F;16/09/2020;14;0,194;R
ES0031405256532001ME0F;16/09/2020;15;0,199;R
ES0031405256532001ME0F;16/09/2020;16;0,246;R
ES0031405256532001ME0F;16/09/2020;17;0,075;R
ES0031405256532001ME0F;16/09/2020;18;0,157;R
ES0031405256532001ME0F;16/09/2020;19;0,159;R
ES0031405256532001ME0F;16/09/2020;20;0,28;R
ES0031405256532001ME0F;16/09/2020;21;0,305;R
ES0031405256532001ME0F;16/09/2020;22;0,248;R
ES0031405256532001ME0F;16/09/2020;23;0,262;R
ES0031405256532001ME0F;16/09/2020;24;0,184;R
ES0031405256532001ME0F;17/09/2020;1;0,085;R
ES0031405256532001ME0F;17/09/2020;2;0,137;R
ES0031405256532001ME0F;17/09/2020;3;0,081;R
ES0031405256532001ME0F;17/09/2020;4;0,132;R
ES0031405256532001ME0F;17/09/2020;5;0,076;R
ES0031405256532001ME0F;17/09/2020;6;0,122;R
ES0031405256532001ME0F;17/09/2020;7;0,185;R
ES0031405256532001ME0F;17/09/2020;8;0,093;R
ES0031405256532001ME0F;17/09/2020;9;0,187;R
ES0031405256532001ME0F;17/09/2020;10;0,125;R
ES0031405256532001ME0F;17/09/2020;11;0,213;R
ES0031405256532001ME0F;17/09/2020;12;0,15;R
ES0031405256532001ME0F;17/09/2020;13;0,194;R
ES0031405256532001ME0F;17/09/2020;14;0,222;R
ES0031405256532001ME0F;17/09/2020;15;0,172;R
ES0031405256532001ME0F;17/09/2020;16;0,228;R
ES0031405256532001ME0F;17/09/2020;17;0,134;R
ES0031405256532001ME0F;17/09/2020;18;0,136;R
ES0031405256532001ME0F;17/09/2020;19;0,09;R
ES0031405256532001ME0F;17/09/2020;20;0,178;R
ES0031405256532001ME0F;17/09/2020;21;0,189;R
ES0031405256532001ME0F;17/09/2020;22;0,228;R
ES0031405256532001ME0F;17/09/2020;23;0,482;R
